,time,logger,daily_max,daily_min,daily_mean
0,2022-05-16,1,26.0,15.091,19.907222222222224
1,2022-05-16,2,26.781,14.23,19.937743055555547
2,2022-05-16,3,,,
3,2022-05-16,4,,,
4,2022-05-16,5,,,
5,2022-05-16,6,,,
6,2022-05-16,7,26.195,14.996,20.508472222222224
7,2022-05-16,8,25.513,15.569,20.08383333333334
8,2022-05-16,9,25.61,13.654,19.441111111111116
9,2022-05-16,10,,,
10,2022-05-16,11,,,
11,2022-05-16,12,,,
12,2022-05-16,13,24.641,14.517,19.48399305555556
13,2022-05-16,14,26.781,14.709,20.561222222222213
14,2022-05-16,15,,,
15,2022-05-16,16,26.195,14.709,20.589194444444434
16,2022-05-16,17,25.708,14.134,19.483062499999996
17,2022-05-16,18,,,
18,2022-05-16,19,25.805,14.613,20.052965277777773
19,2022-05-16,20,,,
20,2022-05-16,21,26.0,14.9,20.44689583333333
21,2022-05-16,22,26.195,14.9,20.22127083333333
22,2022-05-16,23,26.39,13.846,19.591979166666665
23,2022-05-16,25,24.835,13.173,19.355499999999996
24,2022-05-16,26,25.61,14.9,20.12525
25,2022-05-16,28,26.0,14.613,20.33416666666666
26,2022-05-16,29,,,
27,2022-05-16,30,26.292,14.996,20.437493055555557
28,2022-05-16,31,25.513,11.916,18.746722222222218
29,2022-05-16,32,22.812,13.365,17.87736805555557
30,2022-05-16,33,23.004,13.173,18.167138888888886
31,2022-05-16,34,25.61,15.187,19.96929166666667
32,2022-05-16,35,,,
33,2022-05-16,36,26.0,15.091,20.121902777777777
34,2022-05-16,37,25.805,15.091,20.26368749999999
35,2022-05-16,38,26.097,13.365,19.549972222222223
36,2022-05-16,39,26.0,13.461,19.601722222222225
37,2022-05-16,40,,,
38,2022-05-16,41,,,
39,2022-05-16,42,26.292,15.378,20.359645833333353
40,2022-05-16,45,25.805,14.996,20.292222222222215
41,2022-05-16,46,,,
42,2022-05-16,47,,,
43,2022-05-16,48,25.61,13.654,19.16745138888888
44,2022-05-16,50,,,
45,2022-05-16,51,25.416,14.23,19.69832638888889
46,2022-05-16,52,25.125,10.944,17.971513888888886
47,2022-05-16,53,26.488,15.378,20.111027777777775
48,2022-05-16,54,,,
49,2022-05-16,55,25.708,15.187,20.583576388888886
50,2022-05-16,57,25.61,14.421,20.085861111111114
51,2022-05-16,58,25.028,14.613,19.354729166666658
