,logger,summer_days,tropical_nights,Name,x,y
0,201,18,11,Robert-Walser-Platz,7.241111393028388,47.13079517749481
1,202,25,12,Hafen,7.236273281519853,47.130697668001005
2,203,27,15,Zentralplatz,7.2469608738162705,47.136632907460786
3,204,27,5,Stadtpark,7.253368987131442,47.14103925664875
4,205,29,4,Ile de la Suze,7.265148929721899,47.14474113093907
5,206,25,0,rural reference,7.295157258049944,47.13854844317897
6,207,23,0,Swiss Meteo Reference,7.415043620428569,47.17900519328959
7,208,28,3,Möösli,7.262326212167894,47.13000983323275
8,209,17,12,Madrestch-Piano,7.25576387028088,47.135385241082226
9,210,21,13,Congresshaus,7.248791114258848,47.134961027557246
10,211,22,9,Mühlefeld,7.249229243522805,47.12814316650811
11,212,21,7,Seepark,7.230545882730043,47.133873786834684
12,213,24,3,Port NBK,7.253961623819155,47.11991929762015
13,214,22,4,Längholz,7.266219234607871,47.12849563209389
14,215,18,12,Old City,7.245634985865393,47.14201400637538
15,216,28,12,Nidau-mittestrasse,7.238831053622557,47.125199475937286
16,217,27,3,Geyisreid,7.283673321069929,47.14427564935802
17,218,27,16,Bahnhof,7.243143648481159,47.13334736683636
18,219,30,16,New City,7.246485268059931,47.13873185875089
19,220,19,15,Altersheim-Neumarkt,7.2512860040606695,47.13730019991995
20,221,26,11,Champagne-Piano,7.263613252816366,47.14665459886711
21,222,20,9,Spital,7.244246935126219,47.147034375760036
22,223,34,11,Altersheim-erlacher,7.2573452439864825,47.1258438271483
23,224,20,6,Bözingen,7.271159682945557,47.15111046676412
24,225,24,7,Swisstennis,7.2784280163168065,47.159005975110944
25,226,28,10,Port Thielle,7.25094956021827,47.12243292332993
26,227,22,8,Altersheim-redenweg,7.260944155574042,47.15039277997535
27,228,29,6,Südstrasse,7.271442786808509,47.14221612603856
28,229,24,11,Viaductstrasse,7.238633407181197,47.135700564647706
29,230,10,4,Vingelz,7.220957635875876,47.13074150165554
30,231,8,21,Nidau-Lac,7.232283739199284,47.12621951507841
31,232,35,12,Champagne-Blumen,7.255567533607622,47.14423869874925
32,233,27,13,Madretsch-Zukunft,7.249217573272106,47.13327968634356
33,234,27,1,Bözingenfeld,7.292273509911332,47.15891885527405
34,235,17,5,Altersheim-Reid,7.256578930803547,47.15067194726373
35,236,20,3,Taubenloch,7.267614387206042,47.15370810175957
36,237,28,3,Rolex,7.292424384479668,47.16303529232208
37,238,10,9,Museum,7.241696082617558,47.13892945858104
38,239,5,9,Nidau-wald,7.232609634845101,47.12543119683497
39,240,0,0,Längholz-replacement,7.26624170539283,47.128434760378624
